Dimension,Probability,No_of_blocks,Density,Manhattan_outcome,Manhattan_length_of_path,Manhattan_time,Euclidean_outcome,Euclidean_length_of_path,Euclidean_time,Chebyshev_outcome,Chebyshev_length_of_path,Chebyshev_time
20,0.31,133,0.3325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,116,0.29,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,121,0.3025,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,129,0.3225,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,125,0.3125,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,130,0.325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,137,0.3425,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,113,0.2825,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,120,0.3,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,120,0.3,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,115,0.2875,1,41,0.001995564,1,41,0.032873869,1,41,0.003989458
20,0.31,114,0.285,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,123,0.3075,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,132,0.33,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,133,0.3325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,122,0.305,1,55,0.001995564,1,55,0.032873869,1,55,0.003989458
20,0.31,128,0.32,1,41,0.001995564,1,41,0.032873869,1,41,0.003989458
20,0.31,111,0.2775,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,128,0.32,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,127,0.3175,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,133,0.3325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,130,0.325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,120,0.3,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,134,0.335,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,126,0.315,1,41,0.001995564,1,41,0.032873869,1,41,0.003989458
20,0.31,105,0.2625,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,131,0.3275,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,117,0.2925,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,124,0.31,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,118,0.295,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,134,0.335,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,119,0.2975,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,131,0.3275,1,43,0.001995564,1,43,0.032873869,1,43,0.003989458
20,0.31,130,0.325,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,136,0.34,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,123,0.3075,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,133,0.3325,1,47,0.001995564,1,47,0.032873869,1,47,0.003989458
20,0.31,114,0.285,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,122,0.305,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,117,0.2925,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,122,0.305,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,127,0.3175,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,119,0.2975,1,41,0.001995564,1,41,0.032873869,1,41,0.003989458
20,0.31,128,0.32,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,127,0.3175,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
20,0.31,121,0.3025,1,43,0.001995564,1,43,0.032873869,1,43,0.003989458
20,0.31,119,0.2975,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,122,0.305,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,139,0.3475,0,,0.001995564,0,,0.032873869,0,,0.003989458
20,0.31,125,0.3125,1,39,0.001995564,1,39,0.032873869,1,39,0.003989458
