Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.1,1032,0.10116655229879423,1,201.0
101,0.1,1055,0.10342123321243016,1,201.0
101,0.1,1034,0.10136261150867562,1,201.0
101,0.1,998,0.09783354573081071,1,201.0
101,0.1,1008,0.09881384178021763,1,201.0
101,0.1,1047,0.10263699637290462,1,201.0
101,0.1,1031,0.10106852269385354,1,201.0
101,0.1,1023,0.10028428585432801,1,201.0
101,0.1,1037,0.10165670032349769,1,201.0
101,0.1,1044,0.10234290755808254,1,201.0
101,0.1,1046,0.10253896676796392,1,201.0
101,0.1,1004,0.09842172336045486,1,201.0
101,0.1,1007,0.09871581217527693,1,201.0
101,0.1,988,0.09685324968140378,1,201.0
101,0.1,1005,0.09851975296539554,1,201.0
101,0.1,1073,0.10518576610136261,1,201.0
101,0.1,988,0.09685324968140378,1,201.0
101,0.1,1055,0.10342123321243016,1,201.0
101,0.1,1021,0.10008822664444662,1,201.0
101,0.1,1032,0.10116655229879423,1,201.0
101,0.2,2051,0.20105871973335948,0,
101,0.2,2057,0.20164689736300362,1,201.0
101,0.2,2018,0.19782374277031664,1,201.0
101,0.2,2066,0.20252916380746985,1,201.0
101,0.2,2010,0.1970395059307911,1,201.0
101,0.2,1982,0.19429467699245173,1,201.0
101,0.2,2002,0.19625526909126556,1,201.0
101,0.2,2044,0.20037251249877464,1,201.0
101,0.2,2036,0.19958827565924908,1,201.0
101,0.2,2047,0.2006666013135967,0,
101,0.2,2034,0.19939221644936772,1,201.0
101,0.2,2075,0.2034114302519361,0,
101,0.2,2027,0.19870600921478287,1,201.0
101,0.2,2010,0.1970395059307911,1,201.0
101,0.2,2002,0.19625526909126556,1,201.0
101,0.2,2098,0.205666111165572,0,
101,0.2,1989,0.19498088422703658,1,203.0
101,0.2,1991,0.19517694343691794,1,201.0
101,0.2,2099,0.2057641407705127,1,201.0
101,0.2,2047,0.2006666013135967,0,
101,0.3,3038,0.29781393980982257,1,201.0
101,0.3,3094,0.30330359768650134,0,
101,0.3,3123,0.30614645622978137,1,205.0
101,0.3,3064,0.30036270953828054,0,
101,0.3,3056,0.29957847269875504,0,
101,0.3,3120,0.3058523674149593,0,
101,0.3,3027,0.29673561415547495,0,
101,0.3,3122,0.3060484266248407,1,201.0
101,0.3,3145,0.3083031075384766,1,201.0
101,0.3,3024,0.2964415253406529,1,205.0
101,0.3,3023,0.29634349573571217,0,
101,0.3,3002,0.29428487403195763,0,
101,0.3,3021,0.2961474365258308,0,
101,0.3,3127,0.30653857464954415,0,
101,0.3,3008,0.2948730516616018,0,
101,0.3,3093,0.30320556808156063,1,209.0
101,0.3,3091,0.30300950887167927,1,205.0
101,0.3,3041,0.29810802862464464,1,203.0
101,0.3,3035,0.2975198509950005,1,203.0
101,0.3,3132,0.30702872267424763,0,
101,0.4,4068,0.39878443289873544,0,
101,0.4,4077,0.39966669934320165,0,
101,0.4,3990,0.39113812371336143,0,
101,0.4,4055,0.3975100480345064,0,
101,0.4,4036,0.3956474855406333,0,
101,0.4,4151,0.4069208901088129,0,
101,0.4,4079,0.399862758553083,0,
101,0.4,4120,0.40388197235565143,0,
101,0.4,4162,0.40799921576316045,0,
101,0.4,4071,0.3990785217135575,0,
101,0.4,4040,0.39603960396039606,0,
101,0.4,4075,0.3994706401333203,0,
101,0.4,4104,0.4023134986766003,0,
101,0.4,4082,0.40015684736790513,0,
101,0.4,4071,0.3990785217135575,0,
101,0.4,4125,0.40437212038035486,0,
101,0.4,4135,0.4053524164297618,0,
101,0.4,4108,0.4027056170963631,0,
101,0.4,4108,0.4027056170963631,0,
101,0.4,4102,0.40211743946671896,0,
101,0.5,5059,0.49593177139496125,0,
101,0.5,5014,0.4915204391726301,0,
101,0.5,5106,0.5005391628271738,0,
101,0.5,5019,0.4920105871973336,0,
101,0.5,5050,0.49504950495049505,0,
101,0.5,5099,0.49985295559258897,0,
101,0.5,5175,0.5073032055680815,0,
101,0.5,5077,0.4976963042838937,0,
101,0.5,5082,0.4981864523085972,0,
101,0.5,5060,0.49602980099990196,0,
