Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.01,110,0.01078325654347613,1,201.0
101,0.01,97,0.009508871679247133,1,201.0
101,0.01,89,0.008724634839721596,1,201.0
101,0.01,127,0.012449759827467896,1,201.0
101,0.01,101,0.009900990099009901,1,201.0
101,0.01,100,0.009802960494069209,1,201.0
101,0.01,95,0.009312812469365748,1,201.0
101,0.01,85,0.008332516419958828,1,201.0
101,0.01,113,0.011077345358298206,1,201.0
101,0.01,113,0.011077345358298206,1,201.0
101,0.01,111,0.010881286148416823,1,201.0
101,0.01,92,0.009018723654543672,1,201.0
101,0.01,104,0.010195078913831977,1,201.0
101,0.01,114,0.011175374963238898,1,201.0
101,0.01,110,0.01078325654347613,1,201.0
101,0.01,104,0.010195078913831977,1,201.0
101,0.01,100,0.009802960494069209,1,201.0
101,0.01,116,0.011371434173120282,1,201.0
101,0.01,89,0.008724634839721596,1,201.0
101,0.01,97,0.009508871679247133,1,201.0
101,0.02,196,0.01921380256837565,1,201.0
101,0.02,227,0.022252720321537103,1,201.0
101,0.02,185,0.018135476914028035,1,201.0
101,0.02,201,0.01970395059307911,1,201.0
101,0.02,199,0.019507891383197726,1,201.0
101,0.02,196,0.01921380256837565,1,201.0
101,0.02,179,0.017547299284383883,1,201.0
101,0.02,166,0.016272914420154886,1,201.0
101,0.02,219,0.021468483482011566,1,201.0
101,0.02,175,0.017155180864621117,1,201.0
101,0.02,220,0.02156651308695226,1,201.0
101,0.02,217,0.021272424272130185,1,201.0
101,0.02,194,0.019017743358494266,1,201.0
101,0.02,171,0.016763062444858347,1,201.0
101,0.02,234,0.02293892755612195,1,201.0
101,0.02,202,0.019801980198019802,1,201.0
101,0.02,200,0.019605920988138417,1,201.0
101,0.02,229,0.022448779531418488,1,201.0
101,0.02,212,0.020782276247426724,1,201.0
101,0.02,199,0.019507891383197726,1,201.0
101,0.03,311,0.030487207136555238,1,201.0
101,0.03,329,0.032251740025487696,1,201.0
101,0.03,291,0.0285266150377414,1,201.0
101,0.03,328,0.032153710420547,1,201.0
101,0.03,305,0.029899029506911087,1,201.0
101,0.03,263,0.02578178609940202,1,201.0
101,0.03,301,0.02950691108714832,1,201.0
101,0.03,325,0.031859621605724926,1,201.0
101,0.03,315,0.030879325556318008,1,201.0
101,0.03,289,0.028330555827860014,1,201.0
101,0.03,327,0.032055680815606315,1,201.0
101,0.03,295,0.028918733457504165,1,201.0
101,0.03,317,0.031075384766199393,1,201.0
101,0.03,302,0.02960494069208901,1,201.0
101,0.03,288,0.028232526222919323,1,201.0
101,0.03,297,0.02911479266738555,1,201.0
101,0.03,324,0.03176159200078424,1,201.0
101,0.03,314,0.030781295951377317,1,201.0
101,0.03,312,0.030585236741495932,1,201.0
101,0.03,326,0.03195765121066562,1,201.0
101,0.04,404,0.039603960396039604,1,201.0
101,0.04,408,0.039996078815802374,1,201.0
101,0.04,386,0.03783942750710715,1,201.0
101,0.04,398,0.03901578276639545,1,201.0
101,0.04,391,0.03832957553181061,1,201.0
101,0.04,369,0.03617292422311538,1,201.0
101,0.04,389,0.038133516321929226,1,201.0
101,0.04,414,0.040584256445446526,1,201.0
101,0.04,415,0.04068228605038722,1,201.0
101,0.04,423,0.04146652288991275,1,201.0
101,0.04,396,0.038819723556514064,1,201.0
