Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Trajectory_length,Outcome,Time_taken
101,0.01,97,0.009508871679247133,6014,201.0,201.0,201.0,1,0.06180381774902344
101,0.01,94,0.009214782864425057,5321,201.0,201.0,203.0,1,0.09318852424621582
101,0.01,94,0.009214782864425057,10201,201.0,201.0,201.0,1,0.04587697982788086
101,0.01,114,0.011175374963238898,29,201.0,201.0,203.0,1,0.03290581703186035
101,0.01,99,0.009704930889128516,9822,201.0,201.0,201.0,1,0.06419706344604492
101,0.01,120,0.01176355259288305,1514,201.0,201.0,209.0,1,0.1447279453277588
101,0.01,100,0.009802960494069209,9339,201.0,201.0,201.0,1,0.07480788230895996
101,0.01,115,0.011273404568179591,317,201.0,201.0,205.0,1,0.06087613105773926
101,0.01,103,0.010097049308891284,8308,201.0,201.0,201.0,1,0.11407279968261719
101,0.01,106,0.010391138123713362,1017,201.0,201.0,203.0,1,0.14963841438293457
101,0.01,94,0.009214782864425057,10199,201.0,201.0,201.0,1,0.10929560661315918
101,0.01,110,0.01078325654347613,10200,201.0,201.0,201.0,1,0.07249999046325684
101,0.01,92,0.009018723654543672,5340,201.0,201.0,203.0,1,0.1290438175201416
101,0.01,108,0.010587197333594745,10201,201.0,201.0,201.0,1,0.03693389892578125
101,0.01,94,0.009214782864425057,8183,201.0,201.0,201.0,1,0.09417581558227539
101,0.01,96,0.00941084207430644,5296,201.0,201.0,203.0,1,0.1918778419494629
101,0.01,96,0.00941084207430644,5422,201.0,201.0,203.0,1,0.0847921371459961
101,0.01,106,0.010391138123713362,10201,201.0,201.0,201.0,1,0.04388856887817383
101,0.01,97,0.009508871679247133,3491,201.0,201.0,207.0,1,0.10263776779174805
101,0.01,98,0.009606901284187825,10201,201.0,201.0,201.0,1,0.04288434982299805
101,0.01,88,0.008626605234780904,2202,201.0,201.0,203.0,1,0.09980320930480957
101,0.01,79,0.007744338790314675,8659,201.0,201.0,201.0,1,0.0987999439239502
101,0.01,97,0.009508871679247133,4397,201.0,201.0,203.0,1,0.08437609672546387
101,0.01,90,0.008822664444662289,5296,201.0,201.0,203.0,1,0.11695122718811035
101,0.01,93,0.009116753259484365,10201,201.0,201.0,201.0,1,0.043096065521240234
101,0.01,118,0.011567493383001667,246,201.0,201.0,207.0,1,0.06390261650085449
101,0.01,81,0.00794039800019606,669,201.0,201.0,203.0,1,0.07490801811218262
101,0.01,98,0.009606901284187825,10201,201.0,201.0,201.0,1,0.03288888931274414
101,0.01,88,0.008626605234780904,722,201.0,201.0,203.0,1,0.06391143798828125
101,0.01,106,0.010391138123713362,354,201.0,201.0,203.0,1,0.03693532943725586
101,0.01,98,0.009606901284187825,74,201.0,201.0,203.0,1,0.08097124099731445
101,0.01,92,0.009018723654543672,10079,201.0,201.0,201.0,1,0.09418272972106934
101,0.01,118,0.011567493383001667,3101,201.0,201.0,203.0,1,0.05086994171142578
101,0.01,114,0.011175374963238898,210,201.0,201.0,211.0,1,0.11931276321411133
101,0.01,118,0.011567493383001667,137,201.0,201.0,203.0,1,0.06681537628173828
101,0.01,96,0.00941084207430644,4582,201.0,201.0,205.0,1,0.0998077392578125
101,0.01,97,0.009508871679247133,2493,201.0,201.0,203.0,1,0.07155776023864746
101,0.01,108,0.010587197333594745,2109,201.0,201.0,203.0,1,0.11116480827331543
101,0.01,102,0.009999019703950594,42,201.0,201.0,205.0,1,0.11197447776794434
101,0.01,87,0.008528575629840211,10201,201.0,201.0,201.0,1,0.03289031982421875
101,0.01,97,0.009508871679247133,5439,201.0,201.0,203.0,1,0.12407636642456055
101,0.01,112,0.010979315753357513,1218,201.0,201.0,203.0,1,0.07653117179870605
101,0.01,91,0.00892069404960298,10199,201.0,201.0,201.0,1,0.10577654838562012
101,0.01,113,0.011077345358298206,4946,201.0,201.0,205.0,1,0.08785510063171387
101,0.01,112,0.010979315753357513,2199,201.0,201.0,205.0,1,0.15262556076049805
101,0.01,117,0.011469463778060974,10201,201.0,201.0,201.0,1,0.03690028190612793
101,0.01,115,0.011273404568179591,7349,201.0,201.0,201.0,1,0.09194469451904297
101,0.01,84,0.008234486815018136,354,201.0,201.0,203.0,1,0.07354092597961426
101,0.01,102,0.009999019703950594,3730,201.0,201.0,205.0,1,0.05984759330749512
101,0.01,111,0.010881286148416823,5311,201.0,201.0,207.0,1,0.09586620330810547
101,0.01,87,0.008528575629840211,10200,201.0,201.0,201.0,1,0.0825343132019043
101,0.01,104,0.010195078913831977,4583,201.0,201.0,203.0,1,0.10678410530090332
101,0.01,90,0.008822664444662289,10200,201.0,201.0,201.0,1,0.07562088966369629
101,0.01,103,0.010097049308891284,10200,201.0,201.0,201.0,1,0.09012866020202637
101,0.01,101,0.009900990099009901,2018,201.0,201.0,203.0,1,0.07752513885498047
101,0.01,111,0.010881286148416823,1017,201.0,201.0,203.0,1,0.10378646850585938
101,0.01,95,0.009312812469365748,477,201.0,201.0,203.0,1,0.08054971694946289
101,0.01,105,0.01029310851877267,218,201.0,201.0,203.0,1,0.1097712516784668
101,0.01,108,0.010587197333594745,3100,201.0,201.0,205.0,1,0.08103752136230469
101,0.01,115,0.011273404568179591,10201,201.0,201.0,201.0,1,0.03689074516296387
101,0.01,99,0.009704930889128516,5243,201.0,201.0,203.0,1,0.05791473388671875
101,0.01,100,0.009802960494069209,10200,201.0,201.0,201.0,1,0.06087088584899902
101,0.01,111,0.010881286148416823,2015,201.0,201.0,205.0,1,0.15069818496704102
101,0.01,102,0.009999019703950594,10201,201.0,201.0,201.0,1,0.049875497817993164
101,0.01,111,0.010881286148416823,162,201.0,201.0,203.0,1,0.03191232681274414
101,0.01,107,0.010489167728654054,10201,201.0,201.0,201.0,1,0.04294562339782715
101,0.01,111,0.010881286148416823,10201,201.0,201.0,201.0,1,0.03989100456237793
101,0.01,92,0.009018723654543672,10201,201.0,201.0,201.0,1,0.03294253349304199
101,0.01,98,0.009606901284187825,10133,201.0,201.0,201.0,1,0.09634947776794434
101,0.01,122,0.011959611802764435,10201,201.0,201.0,201.0,1,0.032930612564086914
101,0.01,97,0.009508871679247133,7349,201.0,201.0,201.0,1,0.09019923210144043
101,0.01,95,0.009312812469365748,7644,201.0,201.0,201.0,1,0.056876182556152344
101,0.01,89,0.008724634839721596,9253,201.0,201.0,201.0,1,0.09215164184570312
101,0.01,105,0.01029310851877267,10200,201.0,201.0,201.0,1,0.06167936325073242
101,0.01,104,0.010195078913831977,2902,201.0,201.0,205.0,1,0.07158207893371582
101,0.01,93,0.009116753259484365,8974,201.0,201.0,201.0,1,0.08280277252197266
101,0.01,102,0.009999019703950594,2014,201.0,201.0,207.0,1,0.10610342025756836
101,0.01,104,0.010195078913831977,393,201.0,201.0,209.0,1,0.07058000564575195
101,0.01,90,0.008822664444662289,3291,201.0,201.0,203.0,1,0.0888674259185791
101,0.01,110,0.01078325654347613,3291,201.0,201.0,203.0,1,0.11417007446289062
101,0.01,103,0.010097049308891284,10130,201.0,201.0,201.0,1,0.24141478538513184
101,0.01,98,0.009606901284187825,1674,201.0,201.0,203.0,1,0.051860809326171875
