Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.01,119,0.01166552298794236,1,201.0
101,0.01,86,0.00843054602489952,1,201.0
101,0.01,102,0.009999019703950594,1,201.0
101,0.01,92,0.009018723654543672,1,201.0
101,0.01,105,0.01029310851877267,1,201.0
101,0.01,109,0.010685226938535438,1,201.0
101,0.01,81,0.00794039800019606,1,201.0
101,0.01,82,0.00803842760513675,1,201.0
101,0.01,97,0.009508871679247133,1,201.0
101,0.01,99,0.009704930889128516,1,201.0
101,0.01,91,0.00892069404960298,1,201.0
101,0.01,99,0.009704930889128516,1,201.0
101,0.01,109,0.010685226938535438,1,201.0
101,0.01,126,0.012351730222527203,1,201.0
101,0.01,117,0.011469463778060974,1,201.0
101,0.01,101,0.009900990099009901,1,201.0
101,0.01,89,0.008724634839721596,1,201.0
101,0.01,96,0.00941084207430644,1,201.0
101,0.01,119,0.01166552298794236,1,201.0
101,0.01,101,0.009900990099009901,1,201.0
101,0.02,227,0.022252720321537103,1,201.0
101,0.02,215,0.0210763650622488,1,201.0
101,0.02,183,0.017939417704146653,1,201.0
101,0.02,194,0.019017743358494266,1,201.0
101,0.02,176,0.017253210469561808,1,201.0
101,0.02,228,0.022350749926477797,1,201.0
101,0.02,222,0.021762572296833645,1,201.0
101,0.02,200,0.019605920988138417,1,201.0
101,0.02,201,0.01970395059307911,1,201.0
101,0.02,215,0.0210763650622488,1,201.0
101,0.02,199,0.019507891383197726,1,201.0
101,0.02,187,0.01833153612390942,1,201.0
101,0.02,195,0.019115772963434956,1,201.0
101,0.02,222,0.021762572296833645,0,
101,0.02,210,0.02058621703754534,1,201.0
101,0.02,207,0.020292128222723263,1,201.0
101,0.02,210,0.02058621703754534,1,201.0
101,0.02,211,0.02068424664248603,1,201.0
101,0.02,207,0.020292128222723263,1,201.0
101,0.02,232,0.022742868346240563,1,201.0
101,0.03,272,0.02666405254386825,1,201.0
101,0.03,303,0.0297029702970297,1,201.0
101,0.03,306,0.02999705911185178,1,201.0
101,0.03,293,0.028722674247622784,1,201.0
101,0.03,320,0.03136947358102147,1,201.0
101,0.03,310,0.030389177531614547,1,201.0
101,0.03,304,0.029800999901970396,1,201.0
101,0.03,301,0.02950691108714832,1,201.0
101,0.03,294,0.028820703852563474,1,201.0
101,0.03,286,0.028036467013037938,1,201.0
101,0.03,308,0.030193118321733162,1,201.0
101,0.03,284,0.027840407803156553,1,201.0
101,0.03,310,0.030389177531614547,1,201.0
101,0.03,284,0.027840407803156553,1,201.0
101,0.03,284,0.027840407803156553,1,201.0
101,0.03,336,0.03293794726007254,1,201.0
101,0.03,302,0.02960494069208901,1,201.0
101,0.03,278,0.0272522301735124,1,201.0
101,0.03,334,0.03274188805019116,1,201.0
101,0.03,340,0.03333006567983531,1,201.0
101,0.04,427,0.04185864130967552,1,201.0
101,0.04,408,0.039996078815802374,1,201.0
101,0.04,420,0.04117243407509068,1,201.0
101,0.04,407,0.03989804921086168,1,201.0
