Dimension,Probability,No_of_blocks,Density,Manhattan_outcome,Manhattan_length_of_path,Manhattan_time,Euclidean_outcome,Euclidean_length_of_path,Euclidean_time,Chebyshev_outcome,Chebyshev_length_of_path,Chebyshev_time
101,0.36,3685,0.361239094,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3649,0.357710028,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3695,0.36221939,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3643,0.357121851,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3760,0.368591315,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3680,0.360748946,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3669,0.359670621,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3653,0.358102147,1,219,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3734,0.366042545,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3605,0.353396726,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3632,0.356043525,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3530,0.346044505,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3562,0.349181453,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3683,0.361043035,1,215,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3651,0.357906088,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3607,0.353592785,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3684,0.361141065,1,213,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3688,0.361533183,1,231,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3704,0.363101657,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3610,0.353886874,1,215,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3660,0.358788354,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3672,0.359964709,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3663,0.359082443,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3646,0.35741594,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3650,0.357808058,1,211,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3734,0.366042545,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3665,0.359278502,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3711,0.363787864,1,235,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3743,0.366924811,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3679,0.360650917,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3635,0.356337614,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3748,0.367414959,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3644,0.35721988,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3682,0.360945005,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3695,0.36221939,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3681,0.360846976,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3645,0.35731791,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3662,0.358984413,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3625,0.355357318,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3624,0.355259288,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3614,0.354278992,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3668,0.359572591,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3642,0.357023821,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3723,0.364964219,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3679,0.360650917,1,223,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3620,0.35486717,1,205,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3774,0.369963729,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3669,0.359670621,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3616,0.354475051,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
101,0.36,3688,0.361533183,0,,0.010002375,1,2,0.483052969,1,2,0.060837746
