Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.01,102,0.009999019703950594,432,1,201.0,201.0,0.21935200691223145
101,0.01,112,0.010979315753357513,244,1,201.0,201.0,0.15657711029052734
101,0.01,99,0.009704930889128516,325,1,201.0,201.0,0.15662145614624023
101,0.01,115,0.011273404568179591,1237,1,201.0,201.0,0.21442461013793945
101,0.01,101,0.009900990099009901,10,1,201.0,201.0,0.18350601196289062
101,0.01,96,0.00941084207430644,1856,1,201.0,201.0,0.2622959613800049
101,0.01,101,0.009900990099009901,659,1,201.0,201.0,0.21047377586364746
101,0.01,91,0.00892069404960298,13,1,203.0,201.0,0.1306774616241455
101,0.01,95,0.009312812469365748,351,1,201.0,201.0,0.17552781105041504
101,0.01,103,0.010097049308891284,550,1,201.0,201.0,0.47871947288513184
101,0.01,108,0.010587197333594745,2226,1,201.0,201.0,0.5764851570129395
101,0.01,113,0.011077345358298206,1533,1,201.0,201.0,0.41385364532470703
101,0.01,109,0.010685226938535438,155,1,201.0,201.0,0.2603001594543457
101,0.01,107,0.010489167728654054,57,1,203.0,201.0,0.21139979362487793
101,0.01,99,0.009704930889128516,1237,1,201.0,201.0,0.1566171646118164
101,0.01,87,0.008528575629840211,290,1,201.0,201.0,0.25531697273254395
101,0.01,109,0.010685226938535438,2040,1,201.0,201.0,0.28122520446777344
101,0.01,104,0.010195078913831977,356,1,201.0,201.0,0.21542596817016602
101,0.01,105,0.01029310851877267,23,1,201.0,201.0,0.4228668212890625
101,0.01,103,0.010097049308891284,17,1,201.0,201.0,0.2663137912750244
101,0.01,90,0.008822664444662289,911,1,201.0,201.0,0.16153502464294434
101,0.01,116,0.011371434173120282,1302,1,201.0,201.0,0.27227020263671875
101,0.01,98,0.009606901284187825,18,1,201.0,201.0,0.1536240577697754
101,0.01,92,0.009018723654543672,39,1,201.0,201.0,0.37303662300109863
101,0.01,110,0.01078325654347613,1764,1,201.0,201.0,0.2513251304626465
101,0.01,91,0.00892069404960298,2491,1,201.0,201.0,0.22439837455749512
101,0.01,98,0.009606901284187825,2671,1,201.0,201.0,0.11070585250854492
101,0.01,96,0.00941084207430644,216,1,201.0,201.0,0.36206889152526855
101,0.01,106,0.010391138123713362,596,1,201.0,201.0,0.14058470726013184
101,0.01,100,0.009802960494069209,330,1,201.0,201.0,0.16252660751342773
101,0.01,107,0.010489167728654054,84,1,201.0,201.0,0.1895284652709961
101,0.01,107,0.010489167728654054,1505,1,201.0,201.0,0.3929409980773926
101,0.01,83,0.008136457210077443,2490,1,201.0,201.0,0.21944403648376465
101,0.01,103,0.010097049308891284,95,1,201.0,201.0,0.1596076488494873
101,0.01,102,0.009999019703950594,1149,1,201.0,201.0,0.20842742919921875
101,0.01,110,0.01078325654347613,1262,1,201.0,201.0,0.15860462188720703
101,0.01,119,0.01166552298794236,22,1,201.0,201.0,0.12868571281433105
101,0.01,105,0.01029310851877267,175,1,201.0,201.0,0.3052077293395996
101,0.01,100,0.009802960494069209,1581,1,201.0,201.0,0.4548203945159912
101,0.01,89,0.008724634839721596,21,1,203.0,201.0,0.11964035034179688
101,0.01,104,0.010195078913831977,2671,1,201.0,201.0,0.10766887664794922
101,0.01,108,0.010587197333594745,1345,1,201.0,201.0,0.15561413764953613
101,0.01,116,0.011371434173120282,1397,1,201.0,201.0,0.2822442054748535
101,0.01,90,0.008822664444662289,1772,1,201.0,201.0,0.18749570846557617
101,0.01,115,0.011273404568179591,2671,1,201.0,201.0,0.1266951560974121
101,0.01,101,0.009900990099009901,2671,1,201.0,201.0,0.10974812507629395
101,0.01,98,0.009606901284187825,209,1,201.0,201.0,0.15259146690368652
101,0.01,88,0.008626605234780904,32,1,201.0,201.0,0.11269402503967285
101,0.01,102,0.009999019703950594,423,1,201.0,201.0,0.13267874717712402
101,0.01,104,0.010195078913831977,187,1,201.0,201.0,0.1466054916381836
101,0.05,517,0.05068130575433781,314,1,205.0,201.0,0.6482713222503662
101,0.05,489,0.047936476815998434,6,1,205.0,201.0,0.34810352325439453
101,0.05,512,0.050191157729634346,8,1,205.0,201.0,0.850693941116333
101,0.05,490,0.04803450642093912,19,1,203.0,201.0,0.5405514240264893
101,0.05,509,0.04989706891481227,6,1,,,0.48170900344848633
101,0.05,493,0.0483285952357612,44,1,203.0,201.0,1.299555778503418
101,0.05,481,0.047152239976472894,72,1,201.0,201.0,0.5824375152587891
101,0.05,470,0.04607391432212528,60,1,201.0,201.0,0.35006093978881836
101,0.05,515,0.05048524654445643,51,1,207.0,201.0,0.676189661026001
101,0.05,509,0.04989706891481227,27,1,201.0,201.0,0.6661856174468994
101,0.05,508,0.04979903930987158,79,1,207.0,201.0,0.7141225337982178
101,0.05,548,0.05372022350749926,10,1,203.0,201.0,0.731041669845581
101,0.05,546,0.05352416429761788,6,1,205.0,201.0,0.9574692249298096
101,0.05,490,0.04803450642093912,15,1,201.0,201.0,0.7181117534637451
101,0.05,482,0.04725026958141359,12,1,203.0,201.0,0.6432750225067139
101,0.05,501,0.04911283207528674,11,1,205.0,201.0,1.207740068435669
101,0.05,499,0.048916772865405356,13,1,201.0,201.0,0.590425968170166
101,0.05,542,0.05313204587785511,38,1,201.0,201.0,0.7459673881530762
101,0.05,508,0.04979903930987158,22,1,203.0,201.0,0.4746999740600586
101,0.05,538,0.05273992745809234,12,1,203.0,201.0,0.47672486305236816
101,0.05,507,0.04970100970493089,825,1,201.0,201.0,0.5485291481018066
101,0.05,513,0.05028918733457504,222,1,201.0,201.0,0.4437747001647949
101,0.05,469,0.04597588471718459,174,1,201.0,201.0,0.5405852794647217
101,0.05,506,0.049602980099990195,130,1,201.0,201.0,0.48673152923583984
101,0.05,516,0.050583276149397116,18,1,201.0,201.0,0.7011220455169678
101,0.05,537,0.052641897853151653,185,1,201.0,201.0,0.6263222694396973
101,0.05,506,0.049602980099990195,160,1,,,0.6971356868743896
101,0.05,529,0.05185766101362611,15,1,203.0,201.0,0.6901199817657471
101,0.05,553,0.05421037153220273,233,1,203.0,201.0,0.3600351810455322
101,0.05,493,0.0483285952357612,41,1,203.0,201.0,0.6412842273712158
101,0.05,473,0.04636800313694736,49,1,205.0,201.0,1.0753028392791748
101,0.05,515,0.05048524654445643,8,1,201.0,201.0,0.7863197326660156
101,0.05,474,0.04646603274188805,463,1,201.0,201.0,0.3019099235534668
101,0.05,501,0.04911283207528674,59,1,,,0.7052590847015381
101,0.05,489,0.047936476815998434,8,1,203.0,201.0,0.85408616065979
101,0.05,487,0.047740417606117046,74,1,201.0,201.0,0.40021586418151855
101,0.05,502,0.04921086168022743,12,1,205.0,201.0,0.5467031002044678
101,0.05,495,0.048524654445642586,54,1,,,0.36173152923583984
101,0.05,479,0.04695618076659151,12,1,205.0,201.0,0.6766390800476074
101,0.05,521,0.05107342417410058,45,1,205.0,201.0,0.488431453704834
101,0.05,497,0.04872071365552397,26,1,203.0,201.0,0.4309654235839844
101,0.05,535,0.052445838643270265,20,1,203.0,201.0,0.716270923614502
101,0.05,500,0.04901480247034604,114,1,201.0,201.0,0.877518892288208
101,0.05,494,0.04842662484070189,74,1,201.0,201.0,0.8369002342224121
101,0.05,507,0.04970100970493089,14,1,203.0,201.0,0.4976010322570801
101,0.05,535,0.052445838643270265,671,1,203.0,201.0,0.6393575668334961
101,0.05,547,0.053622193902558575,1,0,,,0.2892580032348633
101,0.05,502,0.04921086168022743,16,1,201.0,201.0,0.6113636493682861
101,0.05,503,0.04930889128516812,10,1,203.0,201.0,0.6702077388763428
101,0.05,528,0.051759631408685426,15,1,201.0,201.0,0.5276272296905518
101,0.09,954,0.09352024311342025,37,1,211.0,201.0,1.07017183303833
101,0.09,972,0.09528477600235272,6,1,207.0,201.0,1.3924164772033691
101,0.09,909,0.0891089108910891,22,1,203.0,201.0,1.5974888801574707
101,0.09,859,0.0842074306440545,6,1,205.0,201.0,0.7446346282958984
101,0.09,883,0.08656014116263111,17,1,205.0,201.0,1.3628203868865967
101,0.09,974,0.09548083521223409,10,1,209.0,201.0,1.8262543678283691
101,0.09,969,0.09499068718753063,55,1,203.0,201.0,1.3400895595550537
101,0.09,876,0.08587393392804626,6,1,213.0,201.0,1.0848376750946045
101,0.09,898,0.0880305852367415,24,1,201.0,201.0,0.6403131484985352
101,0.09,922,0.0903832957553181,68,1,203.0,201.0,1.0823185443878174
101,0.09,875,0.08577590432310558,13,1,205.0,201.0,1.326869010925293
101,0.09,978,0.09587295363199687,42,1,207.0,201.0,2.0607409477233887
101,0.09,954,0.09352024311342025,28,1,211.0,201.0,1.9249904155731201
101,0.09,882,0.08646211155769042,81,1,201.0,201.0,0.7461299896240234
101,0.09,917,0.08989314773061464,72,1,207.0,201.0,0.9015748500823975
101,0.09,862,0.08450151945887659,17,1,203.0,201.0,0.8098132610321045
101,0.09,933,0.09146162140966572,21,1,201.0,201.0,1.1148936748504639
101,0.09,861,0.08440348985393589,30,1,213.0,201.0,1.276066780090332
101,0.09,952,0.09332418390353887,7,1,211.0,201.0,1.4845283031463623
101,0.09,912,0.08940299970591119,32,1,215.0,201.0,0.8417618274688721
101,0.09,995,0.09753945691598863,52,1,207.0,201.0,0.9260566234588623
101,0.09,922,0.0903832957553181,23,1,209.0,201.0,1.6910195350646973
101,0.09,950,0.09312812469365749,65,1,201.0,201.0,1.2621376514434814
101,0.09,966,0.09469659837270855,7,1,211.0,201.0,1.5949602127075195
101,0.09,878,0.08606999313792765,11,1,221.0,201.0,0.49910783767700195
101,0.09,897,0.0879325556318008,28,1,215.0,201.0,1.3809409141540527
101,0.09,938,0.09195176943436918,6,1,211.0,201.0,1.3346061706542969
101,0.09,971,0.09518674639741202,74,1,207.0,201.0,1.0021896362304688
101,0.09,916,0.08979511812567395,19,1,203.0,201.0,0.9976592063903809
101,0.09,932,0.09136359180472503,21,1,203.0,201.0,0.7429327964782715
101,0.09,919,0.09008920694049603,56,1,203.0,201.0,1.2187037467956543
101,0.09,936,0.0917557102244878,18,1,201.0,201.0,1.3581886291503906
101,0.09,893,0.08754043721203804,8,1,205.0,201.0,1.0459296703338623
101,0.09,963,0.09440250955788648,3,1,207.0,201.0,0.7368288040161133
101,0.09,886,0.08685422997745319,32,1,203.0,201.0,1.5173678398132324
101,0.09,928,0.09097147338496225,52,1,201.0,201.0,1.3909451961517334
101,0.09,889,0.08714831879227526,21,1,207.0,201.0,1.502720594406128
101,0.09,951,0.09322615429859818,66,1,203.0,201.0,0.6118271350860596
101,0.09,952,0.09332418390353887,8,1,205.0,201.0,0.6964137554168701
101,0.09,912,0.08940299970591119,9,1,205.0,201.0,1.6179401874542236
101,0.09,931,0.09126556219978434,8,1,211.0,201.0,1.1150801181793213
101,0.09,929,0.09106950298990295,129,1,203.0,201.0,0.4993124008178711
101,0.09,883,0.08656014116263111,206,1,201.0,201.0,1.4546053409576416
101,0.09,937,0.09185373982942849,12,1,207.0,201.0,0.9524860382080078
101,0.09,893,0.08754043721203804,19,1,209.0,201.0,1.000324010848999
101,0.09,890,0.08724634839721596,6,1,205.0,201.0,0.6552023887634277
101,0.09,893,0.08754043721203804,6,1,205.0,201.0,1.1279802322387695
