Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Total_Blocked_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.01,104,0.010195078913831977,402,4,1,203.0,203.0,0.0
101,0.01,103,0.010097049308891284,467,5,1,203.0,203.0,0.015651464462280273
101,0.01,109,0.010685226938535438,399,2,1,201.0,201.0,0.0
101,0.01,94,0.009214782864425057,446,2,1,201.0,201.0,0.0
101,0.01,102,0.009999019703950594,427,2,1,201.0,201.0,0.015619516372680664
101,0.01,92,0.009018723654543672,405,6,1,205.0,205.0,0.0
101,0.01,110,0.01078325654347613,496,5,1,203.0,203.0,0.014927148818969727
101,0.01,98,0.009606901284187825,405,3,1,205.0,205.0,0.002821207046508789
101,0.01,107,0.010489167728654054,463,5,1,207.0,205.0,0.015623092651367188
101,0.01,126,0.012351730222527203,441,7,1,203.0,203.0,0.015621185302734375
101,0.01,106,0.010391138123713362,405,6,1,205.0,205.0,0.0
101,0.01,108,0.010587197333594745,408,9,1,207.0,207.0,0.015621423721313477
101,0.01,104,0.010195078913831977,399,5,1,201.0,201.0,0.015619993209838867
101,0.01,109,0.010685226938535438,408,7,1,207.0,207.0,0.01561737060546875
101,0.01,108,0.010587197333594745,399,4,1,201.0,201.0,0.0
101,0.01,114,0.011175374963238898,459,9,1,207.0,205.0,0.015616655349731445
101,0.01,118,0.011567493383001667,476,7,1,205.0,205.0,0.015589475631713867
101,0.01,99,0.009704930889128516,402,3,1,203.0,203.0,0.0
101,0.01,109,0.010685226938535438,419,5,1,203.0,203.0,0.015620946884155273
101,0.01,121,0.011861582197823742,400,4,1,203.0,201.0,0.015621423721313477
101,0.01,109,0.010685226938535438,400,2,1,201.0,201.0,0.0
101,0.01,105,0.01029310851877267,419,7,1,201.0,201.0,0.0
101,0.01,103,0.010097049308891284,437,7,1,205.0,205.0,0.015621423721313477
101,0.01,110,0.01078325654347613,399,2,1,201.0,201.0,0.0
101,0.01,82,0.00803842760513675,402,5,1,203.0,203.0,0.0
101,0.01,97,0.009508871679247133,405,4,1,205.0,205.0,0.0
101,0.01,91,0.00892069404960298,399,4,1,201.0,201.0,0.01562190055847168
101,0.01,103,0.010097049308891284,399,3,1,201.0,201.0,0.015620708465576172
101,0.01,101,0.009900990099009901,402,2,1,203.0,203.0,0.01562190055847168
101,0.01,118,0.011567493383001667,478,7,1,201.0,201.0,0.015620946884155273
101,0.01,114,0.011175374963238898,408,9,1,207.0,207.0,0.024959325790405273
101,0.01,93,0.009116753259484365,399,3,1,201.0,201.0,0.0029969215393066406
101,0.01,90,0.008822664444662289,402,2,1,203.0,203.0,0.0
101,0.01,106,0.010391138123713362,399,5,1,201.0,201.0,0.015620708465576172
101,0.01,98,0.009606901284187825,399,3,1,201.0,201.0,0.015622138977050781
101,0.01,108,0.010587197333594745,399,4,1,201.0,201.0,0.015623807907104492
101,0.01,111,0.010881286148416823,402,7,1,201.0,201.0,0.0
101,0.01,96,0.00941084207430644,402,3,1,203.0,203.0,0.0
101,0.01,91,0.00892069404960298,399,1,1,201.0,201.0,0.0
101,0.01,105,0.01029310851877267,407,3,1,201.0,201.0,0.015622854232788086
101,0.01,100,0.009802960494069209,399,6,1,201.0,201.0,0.0
101,0.01,102,0.009999019703950594,399,5,1,201.0,201.0,0.0
101,0.01,95,0.009312812469365748,407,3,1,201.0,201.0,0.0
101,0.01,105,0.01029310851877267,405,3,1,205.0,205.0,0.015625953674316406
101,0.01,93,0.009116753259484365,402,2,1,203.0,203.0,0.0
101,0.01,105,0.01029310851877267,399,3,1,201.0,201.0,0.0
101,0.01,94,0.009214782864425057,402,3,1,203.0,203.0,0.0
101,0.01,102,0.009999019703950594,405,5,1,205.0,205.0,0.0
101,0.01,94,0.009214782864425057,419,4,1,201.0,201.0,0.01562047004699707
101,0.01,104,0.010195078913831977,430,10,1,205.0,205.0,0.015615463256835938
101,0.05,511,0.05009312812469366,405,14,1,205.0,205.0,0.015626192092895508
101,0.05,504,0.04940692089010881,477,20,1,213.0,211.0,0.03124237060546875
101,0.05,520,0.050975394569159886,513,25,1,217.0,215.0,0.015621662139892578
101,0.05,524,0.051367512988922656,499,30,1,219.0,213.0,0.031244277954101562
101,0.05,503,0.04930889128516812,473,25,1,223.0,221.0,0.029978275299072266
101,0.05,499,0.048916772865405356,482,22,1,213.0,213.0,0.015658140182495117
101,0.05,479,0.04695618076659151,479,17,1,207.0,207.0,0.015622615814208984
101,0.05,530,0.05195569061856681,471,19,1,211.0,209.0,0.03124213218688965
101,0.05,519,0.05087736496421919,495,26,1,219.0,215.0,0.031238555908203125
101,0.05,520,0.050975394569159886,473,24,1,205.0,205.0,0.03125286102294922
101,0.05,482,0.04725026958141359,455,22,1,205.0,205.0,0.0312349796295166
101,0.05,514,0.050387216939515735,500,24,1,217.0,209.0,0.031206130981445312
101,0.05,500,0.04901480247034604,454,15,1,203.0,201.0,0.031243324279785156
101,0.05,515,0.05048524654445643,487,28,1,211.0,207.0,0.03124260902404785
101,0.05,516,0.050583276149397116,494,25,1,205.0,203.0,0.031243085861206055
101,0.05,508,0.04979903930987158,473,21,1,213.0,211.0,0.03124380111694336
101,0.05,520,0.050975394569159886,498,23,1,213.0,211.0,0.0312809944152832
101,0.05,516,0.050583276149397116,468,26,1,213.0,213.0,0.016743898391723633
101,0.05,484,0.04744632879129497,469,20,1,205.0,205.0,0.036951541900634766
101,0.05,487,0.047740417606117046,439,19,1,207.0,207.0,0.015622377395629883
