Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.01,97,0.009508872,204,203,203,1,203,0.005989552
101,0.01,98,0.009606901,203,201,201,1,201,0.011998892
101,0.01,116,0.011371434,208,203,203,1,205,0.01486969
101,0.01,103,0.010097049,205,203,203,1,203,0.01595664
101,0.01,115,0.011273405,202,201,201,1,201,0.006986856
101,0.01,106,0.010391138,207,205,205,1,205,0.008940697
101,0.01,88,0.008626605,208,205,205,1,205,0.013961077
101,0.01,114,0.011175375,210,205,205,1,205,0.016956568
101,0.01,107,0.010489168,207,205,205,1,205,0.007978678
101,0.01,87,0.008528576,204,203,203,1,203,0.004987717
101,0.01,98,0.009606901,212,207,207,1,209,0.009008646
101,0.01,111,0.010881286,207,203,203,1,205,0.009941578
101,0.01,98,0.009606901,207,205,205,1,205,0.008978605
101,0.01,107,0.010489168,201,201,201,1,201,0.003954172
101,0.01,93,0.009116753,204,203,203,1,203,0.007979155
101,0.01,105,0.010293109,202,201,201,1,201,0.00897646
101,0.01,87,0.008528576,203,201,201,1,201,0.017950296
101,0.01,78,0.007646309,205,203,203,1,203,0.009977102
101,0.01,99,0.009704931,207,205,205,1,205,0.005986691
101,0.01,107,0.010489168,204,201,201,1,201,0.012962103
101,0.01,98,0.009606901,208,205,205,1,205,0.007946014
101,0.01,94,0.009214783,201,201,201,1,201,0.005016565
101,0.01,110,0.010783257,201,201,201,1,201,0.00298667
101,0.01,111,0.010881286,204,203,203,1,203,0.00700736
101,0.01,121,0.011861582,202,201,201,1,201,0.010932922
101,0.01,89,0.008724635,206,203,203,1,203,0.015958786
101,0.01,96,0.009410842,204,203,203,1,203,0.004963636
101,0.01,111,0.010881286,208,205,205,1,205,0.013929605
101,0.01,118,0.011567493,204,203,203,1,203,0.008011818
101,0.01,122,0.011959612,208,203,203,1,205,0.015987635
101,0.01,89,0.008724635,205,203,203,1,203,0.006989956
101,0.01,105,0.010293109,208,205,205,1,207,0.009004593
101,0.01,102,0.00999902,207,205,205,1,205,0.005982637
101,0.01,105,0.010293109,202,201,201,1,201,0.007977962
101,0.01,104,0.010195079,205,203,203,1,203,0.010975122
101,0.01,98,0.009606901,205,203,203,1,203,0.011976242
101,0.01,115,0.011273405,212,207,207,1,207,0.015987158
101,0.01,96,0.009410842,207,205,205,1,205,0.005983829
101,0.01,119,0.011665523,203,201,201,1,201,0.015972853
101,0.01,111,0.010881286,208,205,205,1,205,0.011968136
101,0.01,107,0.010489168,210,207,207,1,207,0.01099968
101,0.01,103,0.010097049,210,205,205,1,205,0.018908978
101,0.01,87,0.008528576,204,203,203,1,203,0.005954981
101,0.01,122,0.011959612,201,201,201,1,201,0.006983757
101,0.01,97,0.009508872,204,203,203,1,203,0.006980419
101,0.01,90,0.008822664,209,205,205,1,205,0.027887821
101,0.01,93,0.009116753,202,201,201,1,201,0.010970116
101,0.01,101,0.00990099,201,201,201,1,201,0.003985882
101,0.01,97,0.009508872,207,203,203,1,205,0.009973526
101,0.01,88,0.008626605,205,203,203,1,203,0.010971069
101,0.01,95,0.009312812,204,203,203,1,203,0.00399065
101,0.01,87,0.008528576,204,203,203,1,203,0.004954815
101,0.01,116,0.011371434,205,203,203,1,203,0.007961512
101,0.01,106,0.010391138,206,203,203,1,203,0.019971132
101,0.01,99,0.009704931,201,201,201,1,201,0.003983736
101,0.01,91,0.008920694,204,203,203,1,203,0.006984949
101,0.01,114,0.011175375,207,203,203,1,203,0.01995492
101,0.01,114,0.011175375,201,201,201,1,201,0.00501585
101,0.01,117,0.011469464,207,205,205,1,205,0.006967783
101,0.01,113,0.011077345,205,203,203,1,203,0.011934042
101,0.01,107,0.010489168,210,207,207,1,207,0.007980108
101,0.01,96,0.009410842,207,205,205,1,205,0.005021811
101,0.01,104,0.010195079,202,201,201,1,201,0.011002064
101,0.01,102,0.00999902,207,203,203,1,203,0.014928102
101,0.01,100,0.00980296,205,203,203,1,203,0.010966778
101,0.01,115,0.011273405,212,207,207,1,209,0.012011766
101,0.01,109,0.010685227,205,203,203,1,203,0.006978035
101,0.01,103,0.010097049,203,201,201,1,201,0.017979622
101,0.01,110,0.010783257,205,203,203,1,203,0.03191781
101,0.01,81,0.007940398,202,201,201,1,201,0.007976532
101,0.01,109,0.010685227,201,201,201,1,201,0.004985332
101,0.01,96,0.009410842,205,203,203,1,203,0.009977341
101,0.01,94,0.009214783,205,203,203,1,203,0.007977009
101,0.01,96,0.009410842,201,201,201,1,201,0.00395298
101,0.01,96,0.009410842,209,205,205,1,205,0.017985344
101,0.01,115,0.011273405,204,203,203,1,203,0.008011103
101,0.01,116,0.011371434,204,201,201,1,201,0.017983675
101,0.01,108,0.010587197,205,203,203,1,203,0.0109694
101,0.01,98,0.009606901,205,203,203,1,203,0.00701189
101,0.01,113,0.011077345,203,201,201,1,201,0.016923666
101,0.01,105,0.010293109,204,203,203,1,203,0.004983664
101,0.01,105,0.010293109,208,205,205,1,205,0.011959314
101,0.01,135,0.013233997,205,203,203,1,203,0.010970831
101,0.01,100,0.00980296,203,201,201,1,201,0.014958382
101,0.01,104,0.010195079,207,205,205,1,205,0.005974054
101,0.01,118,0.011567493,204,203,203,1,203,0.007014036
101,0.01,103,0.010097049,209,205,205,1,205,0.015924931
101,0.01,98,0.009606901,202,201,201,1,201,0.007978201
101,0.01,95,0.009312812,201,201,201,1,201,0.006982327
101,0.01,113,0.011077345,209,205,205,1,205,0.017920017
101,0.01,106,0.010391138,201,201,201,1,201,0.005026579
101,0.01,111,0.010881286,216,211,211,1,211,0.007978439
101,0.01,89,0.008724635,204,203,203,1,203,0.004972458
101,0.01,107,0.010489168,205,203,203,1,203,0.003992796
101,0.01,117,0.011469464,207,203,203,1,203,0.015957594
101,0.01,101,0.00990099,204,201,201,1,201,0.014960051
101,0.01,114,0.011175375,201,201,201,1,201,0.005590916
101,0.01,104,0.010195079,201,201,201,1,201,0.004021168
101,0.01,105,0.010293109,201,201,201,1,201,0.006989717
101,0.01,88,0.008626605,205,201,201,1,203,0.007972002
101,0.05,508,0.049799039,227,215,215,1,215,0.031914473
101,0.05,505,0.04950495,222,209,209,1,211,0.034875631
101,0.05,491,0.048132536,230,215,215,1,215,0.031993151
101,0.05,539,0.052837957,228,211,211,1,219,0.022968292
101,0.05,519,0.050877365,213,205,205,1,205,0.02892065
101,0.05,496,0.048622684,221,211,213,1,213,0.013706923
101,0.05,517,0.050681306,228,215,215,1,219,0.028890133
101,0.05,521,0.051073424,236,215,215,1,225,0.035936356
101,0.05,507,0.04970101,234,217,217,1,221,0.038860559
