Trial,weight-1-Trajectory,weight-1-Shortest,weight-1-Time,weight-5-Trajectory,weight-5-Shortest,weight-5-Time,weight-15-Trajectory,weight-15-Shortest,weight-15-Time
1,357,0,0.41980719566345215,357,0,0.41655826568603516,357,0,0.48636484146118164
2,274,230,0.0186612606048584,274,230,0.023905277252197266,274,230,0.012586355209350586
3,0,0,0.0,0,0,0.0,0,0,0.0
4,300,234,0.017037153244018555,300,234,0.009032964706420898,300,234,0.014619827270507812
5,274,230,0.020914554595947266,274,230,0.020926713943481445,274,230,0.013185977935791016
6,250,212,0.006662607192993164,250,212,0.020694255828857422,250,212,0.009018182754516602
7,266,224,0.007800579071044922,266,224,0.008657693862915039,266,224,0.009422779083251953
8,258,222,0.009976625442504883,258,222,0.012839555740356445,258,222,0.02213573455810547
9,286,236,0.010031461715698242,286,236,0.008975744247436523,286,236,0.009011268615722656
10,274,240,0.007981061935424805,274,240,0.009972572326660156,274,240,0.009011507034301758
11,272,228,0.007986068725585938,272,228,0.00898122787475586,272,228,0.009011268615722656
12,259,0,0.46678948402404785,259,0,0.44979405403137207,259,0,0.6511116027832031
13,252,222,0.020390748977661133,252,222,0.011301517486572266,252,222,0.00890660285949707
14,272,228,0.018742084503173828,272,228,0.010965347290039062,272,228,0.016988515853881836
15,280,236,0.02183675765991211,280,236,0.011541366577148438,280,236,0.012595415115356445
16,352,270,0.019419431686401367,352,270,0.014753341674804688,352,270,0.026087522506713867
17,0,0,0.0,0,0,0.0,0,0,0.0
18,250,226,0.012988805770874023,250,226,0.015915870666503906,250,226,0.014079093933105469
19,258,226,0.020452022552490234,258,226,0.019793272018432617,258,226,0.014841794967651367
20,270,228,0.022154569625854492,270,228,0.021237850189208984,270,228,0.015438079833984375
21,0,0,0.0,0,0,0.0,0,0,0.0
22,266,242,0.012877941131591797,266,242,0.01534271240234375,266,242,0.012618780136108398
23,282,232,0.013841867446899414,282,232,0.01762223243713379,282,232,0.009898900985717773
24,290,236,0.017537355422973633,290,236,0.019937992095947266,290,236,0.014160394668579102
25,318,250,0.009268999099731445,318,250,0.012145519256591797,318,250,0.011912822723388672
26,262,222,0.01887655258178711,262,222,0.007930278778076172,262,222,0.02294635772705078
27,290,242,0.02178478240966797,290,242,0.021555423736572266,290,242,0.026144742965698242
28,278,228,0.011833667755126953,278,228,0.022250890731811523,278,228,0.012386322021484375
29,282,228,0.013536453247070312,282,228,0.01970529556274414,282,228,0.00827336311340332
30,244,224,0.01561880111694336,244,224,0.012305736541748047,244,224,0.0131683349609375
31,270,220,0.016771554946899414,270,220,0.021489858627319336,270,220,0.018204927444458008
32,296,238,0.007980108261108398,296,238,0.017076730728149414,296,238,0.00778961181640625
33,31,0,0.0010023117065429688,31,0,0.0010030269622802734,31,0,0.0010027885437011719
34,236,218,0.017422199249267578,236,218,0.02009296417236328,236,218,0.020053863525390625
35,276,222,0.020574092864990234,276,222,0.024465322494506836,276,222,0.020777463912963867
36,6,0,0.0,6,0,0.0,6,0,0.0
37,272,234,0.015457630157470703,272,234,0.018245935440063477,272,234,0.021667957305908203
38,276,238,0.020868301391601562,276,238,0.01465916633605957,276,238,0.009256362915039062
39,308,248,0.01141977310180664,308,248,0.009971857070922852,308,248,0.003201007843017578
40,278,240,0.008844137191772461,278,240,0.018069744110107422,278,240,0.026534318923950195
41,280,238,0.008519887924194336,280,238,0.010813236236572266,280,238,0.008754968643188477
42,262,218,0.011432647705078125,262,218,0.01612401008605957,262,218,0.014724254608154297
43,252,224,0.019064903259277344,252,224,0.012308597564697266,252,224,0.022445201873779297
44,282,256,0.016730546951293945,282,256,0.012375831604003906,282,256,0.014646291732788086
45,290,236,0.0030379295349121094,290,236,0.020594358444213867,290,236,0.013152122497558594
46,254,228,0.014960050582885742,254,228,0.020854949951171875,254,228,0.01585078239440918
47,260,238,0.015614748001098633,260,238,0.021645545959472656,260,238,0.01492452621459961
48,314,240,0.02589249610900879,314,240,0.019946813583374023,314,240,0.009354591369628906
49,400,254,0.02614569664001465,400,254,0.022304296493530273,400,254,0.03250718116760254
50,258,214,0.011823415756225586,258,214,0.011209249496459961,258,214,0.01758122444152832
51,264,234,0.006018400192260742,264,234,0.019329071044921875,264,234,0.008286476135253906
52,272,244,0.019243717193603516,272,244,0.012198209762573242,272,244,0.017626285552978516
53,328,250,0.011089563369750977,328,250,0.013190507888793945,328,250,0.009977579116821289
54,286,242,0.027774572372436523,286,242,0.011000871658325195,286,242,0.011602401733398438
55,300,246,0.02135753631591797,300,246,0.021910667419433594,300,246,0.021913766860961914
56,0,0,0.0,0,0,0.0,0,0,0.0
